Centroid,concept,score,year
0.29076750786372413,claiming government benefits,1.673978494623656,1980
0.1832154156663731,avoiding a fare on public transport,1.9303225806451614,1980
-0.06664897081715636,cheating on taxes,2.055913978494624,1980
-0.012418057092531954,someone accepting a bribe,1.4270967741935483,1980
0.212475539524517,homosexuality,2.2176344086021507,1980
0.03675312065086533,prostitution,2.292043010752688,1980
-0.024936032892796424,abortion,3.4051612903225807,1980
-0.03813600596289826,divorce,4.53505376344086,1980
0.036301710842633325,euthanasia,3.447741935483871,1980
-0.2899609095335382,suicide,1.9019354838709677,1980
0.03314079656463094,buy stolen goods,1.6670967741935483,1980
0.26513092038255925,claiming government benefits,1.590142671854734,1995
0.16038169298501967,avoiding a fare on public transport,1.8158236057068742,1995
-0.07934608733823727,cheating on taxes,1.6511024643320362,1995
0.01397672714355457,someone accepting a bribe,1.1926070038910506,1995
0.2590780764810321,homosexuality,3.3223086900129704,1995
0.01706644721477948,prostitution,2.3190661478599224,1995
-0.043907879484914175,abortion,3.683527885862516,1995
-0.04817874475667839,divorce,5.076523994811932,1995
,euthanasia,4.301556420233463,1995
-0.30491096995248146,suicide,2.1478599221789882,1995
0.038618859177699444,buy stolen goods,1.3605706874189365,1995
0.26822147907741917,claiming government benefits,2.160833333333333,2000
0.14259497487120634,avoiding a fare on public transport,2.6341666666666668,2000
-0.08290041454286208,cheating on taxes,2.2175,2000
0.037953846159224376,someone accepting a bribe,1.5558333333333334,2000
0.2116037268853526,homosexuality,4.663333333333333,2000
0.006979947076102302,prostitution,2.9875,2000
-0.04155975383742852,abortion,4.323333333333333,2000
-0.035417784774626475,divorce,5.894166666666667,2000
0.014756275131442894,euthanasia,5.004166666666666,2000
-0.2919236314220362,suicide,2.61,2000
0.2752149795318753,claiming government benefits,1.8807045636509208,2005
0.12918559032382243,avoiding a fare on public transport,2.1240992794235387,2005
-0.09522902855209474,cheating on taxes,1.6653322658126501,2005
0.02681047565025684,someone accepting a bribe,1.3138510808646917,2005
0.22782369975248834,homosexuality,4.014411529223379,2005
0.01799244199534402,prostitution,2.799839871897518,2005
-0.04634206873405134,abortion,3.9807846277021617,2005
-0.03164723401719282,divorce,5.265812650120096,2005
0.005094465287987982,euthanasia,4.466773418734988,2005
-0.2974688377380579,suicide,2.3843074459567655,2005
,claiming government benefits,2.089605734767025,2010
,Stealing property,1.5528673835125448,2010
,Parents beating children,1.6953405017921146,2010
,Violence against other people,1.9368279569892473,2010
,avoiding a fare on public transport,2.361111111111111,2010
,cheating on taxes,1.7405913978494623,2010
,someone accepting a bribe,1.5864695340501793,2010
,homosexuality,5.155017921146953,2010
,abortion,4.60931899641577,2010
,divorce,5.960573476702509,2010
,suicide,2.8969534050179213,2010
,Sex before marriage,5.643817204301075,2010
