Centroid,concept,kNN Model,score,year
0.5378675242518473,claiming government benefits,0.5,1.673978494623656,1980
0.4941514252508774,avoiding a fare on public transport,0.25,1.9303225806451614,1980
0.49209707029978816,cheating on taxes,0.375,2.055913978494624,1980
0.5048484883009272,someone accepting a bribe,0.5,1.4270967741935483,1980
0.48512613830539353,homosexuality,0.3125,2.2176344086021507,1980
0.46239114523546765,prostitution,0.0625,2.292043010752688,1980
0.504750071257036,abortion,0.4375,3.4051612903225807,1980
0.5174663569155034,divorce,0.6875,4.53505376344086,1980
0.4726532238421113,euthanasia,0.1875,3.447741935483871,1980
0.4572292003806176,suicide,0.125,1.9019354838709677,1980
0.48098268648712306,buy stolen goods,0.1875,1.6670967741935483,1980
0.5374687220302152,claiming government benefits,0.5625,1.590142671854734,1990
0.5068619963960799,avoiding a fare on public transport,0.6875,1.8158236057068742,1990
0.4883082747758048,cheating on taxes,0.4375,1.6511024643320362,1990
0.4990514283805779,someone accepting a bribe,0.375,1.1926070038910506,1990
0.48882383979043137,homosexuality,0.4375,3.3223086900129704,1990
0.459599253666821,prostitution,0.1875,2.3190661478599224,1990
0.4961530752232467,abortion,0.3125,3.683527885862516,1990
0.5169730062984341,divorce,0.8125,5.076523994811932,1990
0.49540424489652857,euthanasia,0.25,4.301556420233463,1990
0.4673730289094519,suicide,0.1875,2.1478599221789882,1990
0.48737461058403025,buy stolen goods,0.5625,1.3605706874189365,1990
0.5374687220302152,claiming government benefits,0.5625,2.160833333333333,1990
0.5068619963960799,avoiding a fare on public transport,0.6875,2.6341666666666668,1990
0.4883082747758048,cheating on taxes,0.4375,2.2175,1990
0.4990514283805779,someone accepting a bribe,0.375,1.5558333333333334,1990
0.48882383979043137,homosexuality,0.4375,4.663333333333333,1990
0.459599253666821,prostitution,0.1875,2.9875,1990
0.4961530752232467,abortion,0.3125,4.323333333333333,1990
0.5169730062984341,divorce,0.8125,5.894166666666667,1990
0.49540424489652857,euthanasia,0.25,5.004166666666666,1990
0.4673730289094519,suicide,0.1875,2.61,1990
0.5374687220302152,claiming government benefits,0.5625,1.8807045636509208,1990
0.5068619963960799,avoiding a fare on public transport,0.6875,2.1240992794235387,1990
0.4883082747758048,cheating on taxes,0.4375,1.6653322658126501,1990
0.4990514283805779,someone accepting a bribe,0.375,1.3138510808646917,1990
0.48882383979043137,homosexuality,0.4375,4.014411529223379,1990
0.459599253666821,prostitution,0.1875,2.799839871897518,1990
0.4961530752232467,abortion,0.3125,3.9807846277021617,1990
0.5169730062984341,divorce,0.8125,5.265812650120096,1990
0.49540424489652857,euthanasia,0.25,4.466773418734988,1990
0.4673730289094519,suicide,0.1875,2.3843074459567655,1990
0.5374687220302152,claiming government benefits,0.5625,2.089605734767025,1990
0.46301215441824584,Stealing property,0.3125,1.5528673835125448,1990
0.5257343516232242,Parents beating children,0.625,1.6953405017921146,1990
0.4814200221396992,Violence against other people,0.4375,1.9368279569892473,1990
0.5068619963960799,avoiding a fare on public transport,0.6875,2.361111111111111,1990
0.4883082747758048,cheating on taxes,0.4375,1.7405913978494623,1990
0.4990514283805779,someone accepting a bribe,0.375,1.5864695340501793,1990
0.48882383979043137,homosexuality,0.4375,5.155017921146953,1990
0.4961530752232467,abortion,0.3125,4.60931899641577,1990
0.5169730062984341,divorce,0.8125,5.960573476702509,1990
0.4673730289094519,suicide,0.1875,2.8969534050179213,1990
0.5315067563318414,Sex before marriage,0.5625,5.643817204301075,1990
