Word,abs_diff
alias,0.0
loosen,0.0
slick,0.0
pulley,0.0
numerical,0.0
cap,0.0
pod,0.0
ajar,0.0
midair,0.0
ton,0.0
hoist,0.0
circumstance,0.0
induce,0.0
manufacturing,0.0
transatlantic,0.0
manufacture,0.0
fateful,0.0
commissary,0.0
allegro,0.0
chassis,0.0
hose,0.0
platform,0.0
mat,0.0
linguist,0.0
auto,0.0
franchise,0.0
spur,0.0
ballistic,0.0
vertical,0.0
bloodhound,0.0
uncanny,0.0
capricious,0.0
figment,0.0
diagnose,0.0
horn,0.0
beaver,0.0
circumvent,0.0
analyst,0.0
reservation,0.0
lair,0.0
tongs,0.0
eleven,0.0
assemblyman,0.0
debutante,0.0
kelp,0.0
embankment,0.0
yen,0.0
juke,0.0
traverse,0.0
net,0.0
credit,0.0
matador,0.0
minister,0.0
retail,0.0
caving,0.0
seal,0.0
curling,0.0
tempt,0.0
unbutton,0.0
unexplainable,0.0
rotation,0.0
digestive,0.0
med,0.0
moped,0.0
speakerphone,0.0
mainframe,0.0
ought,0.0
forge,0.0
unchanged,0.0
broomstick,0.0
transceiver,0.0
acquisition,0.0
hertz,0.0
conglomerate,0.0
dab,0.0
repose,0.0
surge,0.0
clink,0.0
indication,0.0
orb,0.0
shellfish,0.0
vent,0.0
edifice,0.0
vowel,0.0
staple,0.0
sub,0.0
fetish,0.0
forty,0.0
commune,0.0
porridge,0.0
testament,0.0
milky,0.0
barometer,0.0
treatment,0.0
dib,0.0
customary,0.0
husk,0.0
pork,0.0
cutlass,0.0
bar,0.0
psyche,0.0
floss,0.0
virginal,0.0
multitude,0.0
pace,0.0
contender,0.0
rephrase,0.0
column,0.0
context,0.0
undetectable,0.0
textbook,0.0
cubby,0.0
seniority,0.0
domino,0.0
strand,0.0
nincompoop,0.0
sill,0.0
repairman,0.0
machine,0.0
shout,0.0
extension,0.0
brazen,0.0
ruler,0.0
rumble,0.0
convene,0.0
depend,0.0
invisible,0.0
rug,0.0
thumper,0.0
brawn,0.0
sophomore,0.0
borough,0.0
technical,0.0
reduction,0.0
contain,0.0
booze,0.0
stow,0.0
project,0.0
interstate,0.0
transfusion,0.0
understudy,0.0
mescaline,0.0
episode,0.0
third,0.0
widen,0.0
insistence,0.0
financial,0.0
outskirts,0.0
flashback,0.0
showboat,0.0
backwoods,0.0
vamp,0.0
convention,0.0
revolving,0.0
principle,0.0
whopping,0.0
telemetry,0.0
inaugural,0.0
interviewer,0.0
tighten,0.0
pageant,0.0
pagan,0.0
flamboyant,0.0
teeth,0.0
nitro,0.0
chalk,0.0
probability,0.0
ingest,0.0
rampart,0.0
boar,0.0
nitrate,0.0
pact,0.0
antiquated,0.0
corny,0.0
honcho,0.0
semester,0.0
kiosk,0.0
multiple,0.0
slurp,0.0
fir,0.0
toss,0.0
bloke,0.0
tile,0.0
observer,0.0
squishy,0.0
trademark,0.0
heady,0.0
apartments,0.0
priesthood,0.0
council,0.0
reinforcement,0.0
bleep,0.0
undergraduate,0.0
preposterous,0.0
semblance,0.0
semantics,0.0
blackjack,0.0
headline,0.0
piety,0.0
birdman,0.0
telepathy,0.0
trombone,0.0
knick,0.0
coworker,0.0
stretch,0.0
relentless,0.0
latch,0.0
goggle,0.0
taxicab,0.0
trunk,0.019999999999999574
scissors,0.03000000000000025
iron,0.03000000000000025
hydrogen,0.040000000000000036
voltage,0.040000000000000036
news,0.040000000000000036
sovereign,0.040000000000000036
apparent,0.040000000000000036
preppy,0.040000000000000036
guardhouse,0.040000000000000036
placement,0.040000000000000036
rumpus,0.040000000000000036
forehead,0.040000000000000036
diffuse,0.040000000000000036
earpiece,0.040000000000000036
fence,0.04999999999999982
valance,0.04999999999999982
convent,0.04999999999999982
ubiquitous,0.04999999999999982
roundabout,0.04999999999999982
buckle,0.04999999999999982
pharmacy,0.04999999999999982
programmer,0.04999999999999982
bugle,0.04999999999999982
dropper,0.04999999999999982
duel,0.04999999999999982
alteration,0.04999999999999982
limestone,0.04999999999999982
application,0.04999999999999982
bag,0.04999999999999982
cluster,0.04999999999999982
spud,0.04999999999999982
fiddle,0.04999999999999982
hydraulic,0.04999999999999982
brass,0.04999999999999982
bodega,0.04999999999999982
publisher,0.04999999999999982
bit,0.04999999999999982
granite,0.04999999999999982
examination,0.04999999999999982
eventual,0.04999999999999982
graphite,0.04999999999999982
comparative,0.04999999999999982
euphemism,0.04999999999999982
supervise,0.04999999999999982
implement,0.04999999999999982
ozone,0.04999999999999982
bloodstream,0.04999999999999982
translator,0.04999999999999982
equalizer,0.04999999999999982
paperweight,0.04999999999999982
grail,0.04999999999999982
concern,0.04999999999999982
paramedics,0.04999999999999982
ostentatious,0.04999999999999982
iceberg,0.04999999999999982
reform,0.04999999999999982
robotic,0.04999999999999982
perm,0.04999999999999982
rope,0.04999999999999982
triathlon,0.04999999999999982
raptor,0.04999999999999982
drake,0.04999999999999982
dorsal,0.04999999999999982
temperance,0.04999999999999982
sedan,0.04999999999999982
background,0.04999999999999982
cloakroom,0.04999999999999982
clinic,0.04999999999999982
manual,0.04999999999999982
reconvene,0.04999999999999982
cleaver,0.04999999999999982
drape,0.04999999999999982
offshore,0.04999999999999982
nymphomaniac,0.04999999999999982
repentant,0.04999999999999982
airspeed,0.04999999999999982
pert,0.04999999999999982
cerebral,0.04999999999999982
unprovoked,0.04999999999999982
dole,0.04999999999999982
director,0.04999999999999982
discerning,0.04999999999999982
flank,0.04999999999999982
merge,0.04999999999999982
steel,0.04999999999999982
advisory,0.04999999999999982
jockey,0.04999999999999982
regional,0.04999999999999982
jig,0.04999999999999982
indicate,0.04999999999999982
tassel,0.04999999999999982
attic,0.04999999999999982
interval,0.04999999999999982
shorten,0.04999999999999982
bam,0.04999999999999982
sewing,0.04999999999999982
jigsaw,0.04999999999999982
tactical,0.04999999999999982
beholden,0.04999999999999982
liaison,0.04999999999999982
logistics,0.04999999999999982
inconspicuous,0.04999999999999982
cloaking,0.04999999999999982
wiring,0.04999999999999982
indescribable,0.04999999999999982
inconceivable,0.04999999999999982
testimony,0.04999999999999982
flyer,0.04999999999999982
drifter,0.04999999999999982
barrister,0.04999999999999982
retractor,0.04999999999999982
ramp,0.04999999999999982
ravenous,0.04999999999999982
stunt,0.04999999999999982
intermediate,0.04999999999999982
cock,0.04999999999999982
brand,0.04999999999999982
ops,0.04999999999999982
recollect,0.04999999999999982
stately,0.04999999999999982
turtleneck,0.04999999999999982
fluid,0.04999999999999982
carpool,0.04999999999999982
cartridge,0.04999999999999982
gazette,0.04999999999999982
chutney,0.04999999999999982
homing,0.04999999999999982
waiter,0.04999999999999982
diocese,0.04999999999999982
agenda,0.04999999999999982
bullfrog,0.04999999999999982
bump,0.04999999999999982
dock,0.04999999999999982
gully,0.04999999999999982
hour,0.04999999999999982
distribute,0.04999999999999982
distinction,0.04999999999999982
nod,0.04999999999999982
dispensary,0.04999999999999982
dismount,0.04999999999999982
cornfield,0.04999999999999982
marksman,0.04999999999999982
calisthenics,0.04999999999999982
matchbook,0.04999999999999982
capture,0.04999999999999982
placenta,0.04999999999999982
halfback,0.04999999999999982
bedding,0.04999999999999982
armament,0.04999999999999982
snowplow,0.04999999999999982
auditory,0.04999999999999982
whereabouts,0.04999999999999982
infuser,0.04999999999999982
linear,0.04999999999999982
input,0.04999999999999982
section,0.04999999999999982
beret,0.04999999999999982
informal,0.04999999999999982
antibiotics,0.04999999999999982
discreet,0.04999999999999982
anvil,0.04999999999999982
work,0.04999999999999982
shipyard,0.04999999999999982
asinine,0.04999999999999982
slice,0.04999999999999982
adulthood,0.04999999999999982
localized,0.04999999999999982
invoke,0.04999999999999982
reconstructive,0.04999999999999982
modification,0.04999999999999982
nutshell,0.04999999999999982
canteen,0.04999999999999982
hairpin,0.04999999999999982
autonomy,0.04999999999999982
gender,0.04999999999999982
pipeline,0.04999999999999982
rhetorical,0.04999999999999982
tape measure,0.04999999999999982
defender,0.04999999999999982
hangar,0.04999999999999982
swell,0.04999999999999982
new age,0.04999999999999982
tracer,0.04999999999999982
forum,0.04999999999999982
policewoman,0.04999999999999982
podium,0.04999999999999982
domestic,0.04999999999999982
fixture,0.04999999999999982
filly,0.04999999999999982
footlocker,0.04999999999999982
summary,0.04999999999999982
monitor,0.04999999999999982
embargo,0.04999999999999982
patented,0.04999999999999982
racquetball,0.04999999999999982
ordinary,0.04999999999999982
collage,0.04999999999999982
psychologist,0.04999999999999982
surgeon,0.04999999999999982
boxers,0.04999999999999982
conjure,0.04999999999999982
hull,0.04999999999999982
stopwatch,0.04999999999999982
particular,0.04999999999999982
membrane,0.04999999999999982
cellophane,0.04999999999999982
reposition,0.04999999999999982
domain,0.04999999999999982
category,0.04999999999999982
coupe,0.04999999999999982
tractor,0.04999999999999982
dash,0.04999999999999982
urgency,0.04999999999999982
chopper,0.04999999999999982
remark,0.04999999999999982
pong,0.04999999999999982
popper,0.04999999999999982
freshman,0.04999999999999982
custodial,0.04999999999999982
metal,0.04999999999999982
post,0.04999999999999982
chess,0.04999999999999982
navigate,0.04999999999999982
cunning,0.04999999999999982
practitioner,0.04999999999999982
fuse,0.04999999999999982
debriefing,0.04999999999999982
network,0.04999999999999982
neurologist,0.04999999999999982
